time_sec,vibration_accel_g,fbg_strain_microstrain,ir_pyrometer_temp_c,current_phase_u_a,current_phase_v_a,current_phase_w_a,state_label
0.000000,0.0469,120.92,42.50,0.061,-13.159,13.293,Normal Baseline (ISO Class I/II)
0.000489,0.0607,119.83,42.47,2.628,-14.468,11.590,Normal Baseline (ISO Class I/II)
0.000977,0.1774,122.16,42.50,5.365,-14.949,9.460,Normal Baseline (ISO Class I/II)
0.001466,0.1469,120.13,42.52,8.012,-15.220,7.148,Normal Baseline (ISO Class I/II)
0.001954,-0.0064,123.09,42.48,10.274,-14.900,4.713,Normal Baseline (ISO Class I/II)
0.002443,0.3371,121.91,42.47,12.165,-14.020,2.020,Normal Baseline (ISO Class I/II)
0.002931,0.5881,122.41,42.53,13.502,-12.698,-0.823,Normal Baseline (ISO Class I/II)
0.003420,0.5891,121.48,42.49,14.503,-10.869,-3.453,Normal Baseline (ISO Class I/II)
0.003908,0.6504,122.98,42.52,15.077,-8.786,-6.120,Normal Baseline (ISO Class I/II)
0.004397,0.7350,122.83,42.50,15.167,-6.447,-8.667,Normal Baseline (ISO Class I/II)
0.004885,0.6445,123.48,42.50,14.794,-3.724,-10.929,Normal Baseline (ISO Class I/II)
0.005374,0.6995,124.11,42.51,13.449,-1.001,-12.743,Normal Baseline (ISO Class I/II)
0.005862,0.6380,125.22,42.48,12.177,1.711,-13.991,Normal Baseline (ISO Class I/II)
0.006351,0.7045,124.81,42.50,10.199,4.476,-14.746,Normal Baseline (ISO Class I/II)
0.006839,0.8404,125.04,42.49,7.951,7.057,-15.005,Normal Baseline (ISO Class I/II)
0.007328,0.9287,124.03,42.47,5.722,9.467,-15.000,Normal Baseline (ISO Class I/II)
0.007816,0.7787,124.27,42.51,2.998,11.406,-14.269,Normal Baseline (ISO Class I/II)
0.008305,0.7459,126.44,42.50,0.208,13.042,-13.269,Normal Baseline (ISO Class I/II)
0.008793,0.7978,124.40,42.50,-2.531,14.474,-11.592,Normal Baseline (ISO Class I/II)
