time_sec,vibration_accel_g,fbg_strain_microstrain,ir_pyrometer_temp_c,current_phase_u_a,current_phase_v_a,current_phase_w_a,state_label
0.000000,0.2990,186.36,68.25,0.061,-13.159,13.293,Bearing Inner Race Defect (BPFI 148 Hz)
0.000489,0.3209,186.07,68.23,2.628,-14.468,11.590,Bearing Inner Race Defect (BPFI 148 Hz)
0.000977,1.9273,283.73,68.24,5.365,-14.949,9.460,Bearing Inner Race Defect (BPFI 148 Hz)
0.001466,-3.4061,284.90,68.16,8.012,-15.220,7.148,Bearing Inner Race Defect (BPFI 148 Hz)
0.001954,-2.7320,285.34,68.17,10.274,-14.900,4.713,Bearing Inner Race Defect (BPFI 148 Hz)
0.002443,3.7416,286.43,68.24,12.165,-14.020,2.020,Bearing Inner Race Defect (BPFI 148 Hz)
0.002931,0.5846,186.48,68.16,13.502,-12.698,-0.823,Bearing Inner Race Defect (BPFI 148 Hz)
0.003420,0.7327,185.10,68.27,14.503,-10.869,-3.453,Bearing Inner Race Defect (BPFI 148 Hz)
0.003908,0.5727,183.04,68.18,15.077,-8.786,-6.120,Bearing Inner Race Defect (BPFI 148 Hz)
0.004397,0.5739,185.23,68.23,15.167,-6.447,-8.667,Bearing Inner Race Defect (BPFI 148 Hz)
0.004885,0.9909,185.38,68.31,14.794,-3.724,-10.929,Bearing Inner Race Defect (BPFI 148 Hz)
0.005374,0.9836,186.06,68.17,13.449,-1.001,-12.743,Bearing Inner Race Defect (BPFI 148 Hz)
0.005862,0.7818,187.03,68.20,12.177,1.711,-13.991,Bearing Inner Race Defect (BPFI 148 Hz)
0.006351,0.6612,184.86,68.25,10.199,4.476,-14.746,Bearing Inner Race Defect (BPFI 148 Hz)
0.006839,0.7365,188.15,68.25,7.951,7.057,-15.005,Bearing Inner Race Defect (BPFI 148 Hz)
0.007328,1.3774,182.36,68.19,5.722,9.467,-15.000,Bearing Inner Race Defect (BPFI 148 Hz)
0.007816,-0.2004,284.63,68.18,2.998,11.406,-14.269,Bearing Inner Race Defect (BPFI 148 Hz)
0.008305,-3.4719,282.80,68.19,0.208,13.042,-13.269,Bearing Inner Race Defect (BPFI 148 Hz)
0.008793,0.9907,281.14,68.27,-2.531,14.474,-11.592,Bearing Inner Race Defect (BPFI 148 Hz)
0.009282,5.1230,283.70,68.19,-5.368,15.085,-9.588,Bearing Inner Race Defect (BPFI 148 Hz)
0.009770,0.8817,182.81,68.21,-7.881,15.121,-7.558,Bearing Inner Race Defect (BPFI 148 Hz)
0.010259,0.8411,184.76,68.18,-9.872,14.947,-4.841,Bearing Inner Race Defect (BPFI 148 Hz)
0.010747,1.3990,185.05,68.24,-12.026,14.091,-1.982,Bearing Inner Race Defect (BPFI 148 Hz)
0.011236,1.4458,186.68,68.21,-13.433,12.831,0.743,Bearing Inner Race Defect (BPFI 148 Hz)
0.011724,1.0803,182.74,68.15,-14.554,11.085,3.364,Bearing Inner Race Defect (BPFI 148 Hz)
0.012213,1.0258,186.36,68.15,-15.296,9.096,5.891,Bearing Inner Race Defect (BPFI 148 Hz)
0.012702,0.6154,185.15,68.10,-15.361,6.614,8.541,Bearing Inner Race Defect (BPFI 148 Hz)
0.013190,1.1716,186.54,68.16,-14.746,3.952,10.723,Bearing Inner Race Defect (BPFI 148 Hz)
0.013679,0.6702,184.35,68.24,-13.619,1.308,12.432,Bearing Inner Race Defect (BPFI 148 Hz)
0.014167,0.7300,183.00,68.27,-12.217,-1.568,13.901,Bearing Inner Race Defect (BPFI 148 Hz)
0.014656,-3.0495,282.17,68.24,-10.360,-4.320,14.834,Bearing Inner Race Defect (BPFI 148 Hz)
0.015144,-3.1978,282.06,68.23,-8.352,-6.896,15.248,Bearing Inner Race Defect (BPFI 148 Hz)
0.015633,2.8570,284.72,68.20,-5.615,-9.297,14.829,Bearing Inner Race Defect (BPFI 148 Hz)
0.016121,0.2700,187.22,68.24,-3.200,-11.333,14.307,Bearing Inner Race Defect (BPFI 148 Hz)
0.016610,0.3976,184.15,68.22,-0.305,-13.056,13.293,Bearing Inner Race Defect (BPFI 148 Hz)
0.017098,-0.0020,185.94,68.29,2.461,-14.296,11.816,Bearing Inner Race Defect (BPFI 148 Hz)
0.017587,-0.3779,182.71,68.20,5.150,-15.063,9.845,Bearing Inner Race Defect (BPFI 148 Hz)
0.018075,-0.4103,185.27,68.27,7.831,-15.339,7.549,Bearing Inner Race Defect (BPFI 148 Hz)
0.018564,-0.3351,186.00,68.25,9.897,-15.010,4.916,Bearing Inner Race Defect (BPFI 148 Hz)
0.019052,-0.6109,182.83,68.24,11.765,-14.157,2.206,Bearing Inner Race Defect (BPFI 148 Hz)
0.019541,-0.8208,184.69,68.10,13.433,-12.869,-0.625,Bearing Inner Race Defect (BPFI 148 Hz)
0.020029,-0.3286,186.07,68.25,14.467,-11.210,-3.248,Bearing Inner Race Defect (BPFI 148 Hz)
0.020518,-0.8450,180.60,68.20,15.430,-9.344,-6.076,Bearing Inner Race Defect (BPFI 148 Hz)
0.021006,-0.7481,187.00,68.18,15.235,-6.568,-8.357,Bearing Inner Race Defect (BPFI 148 Hz)
0.021495,-5.2613,284.53,68.13,14.689,-4.007,-10.593,Bearing Inner Race Defect (BPFI 148 Hz)
0.021983,-2.2180,285.08,68.20,13.688,-1.322,-12.431,Bearing Inner Race Defect (BPFI 148 Hz)
0.022472,3.4689,283.38,68.21,12.203,1.619,-13.885,Bearing Inner Race Defect (BPFI 148 Hz)
0.022960,-1.2867,182.42,68.14,10.467,4.078,-14.881,Bearing Inner Race Defect (BPFI 148 Hz)
0.023449,-0.9781,185.80,68.13,8.402,6.970,-15.236,Bearing Inner Race Defect (BPFI 148 Hz)
0.023937,-1.0094,184.88,68.23,6.070,9.062,-15.118,Bearing Inner Race Defect (BPFI 148 Hz)
0.024426,-1.1030,185.05,68.25,3.376,11.249,-14.725,Bearing Inner Race Defect (BPFI 148 Hz)
0.024915,-1.4230,186.63,68.21,0.513,12.784,-13.421,Bearing Inner Race Defect (BPFI 148 Hz)
0.025403,-0.8812,186.14,68.26,-2.333,14.164,-11.769,Bearing Inner Race Defect (BPFI 148 Hz)
0.025892,-0.9040,187.88,68.20,-4.986,14.972,-9.864,Bearing Inner Race Defect (BPFI 148 Hz)
0.026380,-1.2407,185.23,68.20,-7.608,15.184,-7.693,Bearing Inner Race Defect (BPFI 148 Hz)
0.026869,-0.8678,183.96,68.16,-9.672,15.024,-5.104,Bearing Inner Race Defect (BPFI 148 Hz)
0.027357,-0.9151,184.72,68.13,-11.817,14.209,-2.456,Bearing Inner Race Defect (BPFI 148 Hz)
0.027846,-4.2409,284.62,68.30,-13.362,12.913,0.404,Bearing Inner Race Defect (BPFI 148 Hz)
0.028334,-4.9938,285.52,68.26,-14.679,11.236,3.319,Bearing Inner Race Defect (BPFI 148 Hz)
0.028823,1.0009,281.80,68.14,-15.092,9.320,5.931,Bearing Inner Race Defect (BPFI 148 Hz)
0.029311,3.7228,284.01,68.21,-15.094,6.807,8.358,Bearing Inner Race Defect (BPFI 148 Hz)
0.029800,-0.8527,187.41,68.20,-14.876,4.364,10.447,Bearing Inner Race Defect (BPFI 148 Hz)
0.030288,-0.8466,184.64,68.19,-13.937,1.652,12.407,Bearing Inner Race Defect (BPFI 148 Hz)
0.030777,-0.6760,186.40,68.19,-12.406,-1.433,13.582,Bearing Inner Race Defect (BPFI 148 Hz)
0.031265,-0.5688,185.74,68.23,-10.834,-3.905,14.679,Bearing Inner Race Defect (BPFI 148 Hz)
0.031754,-0.5759,186.43,68.25,-8.420,-6.429,15.219,Bearing Inner Race Defect (BPFI 148 Hz)
0.032242,-0.7035,183.79,68.23,-6.130,-9.002,15.178,Bearing Inner Race Defect (BPFI 148 Hz)
0.032731,0.1155,183.79,68.20,-3.462,-11.054,14.604,Bearing Inner Race Defect (BPFI 148 Hz)
0.033219,0.1732,185.03,68.20,-0.765,-12.721,13.507,Bearing Inner Race Defect (BPFI 148 Hz)
0.033708,-0.2873,182.70,68.25,2.177,-14.130,11.943,Bearing Inner Race Defect (BPFI 148 Hz)
0.034196,0.1654,184.60,68.23,5.105,-14.884,10.097,Bearing Inner Race Defect (BPFI 148 Hz)
0.034685,-4.3691,284.38,68.21,7.492,-15.330,7.689,Bearing Inner Race Defect (BPFI 148 Hz)
0.035173,-1.5620,286.68,68.21,9.632,-14.967,5.178,Bearing Inner Race Defect (BPFI 148 Hz)
0.035662,4.0559,284.60,68.22,11.808,-14.206,2.568,Bearing Inner Race Defect (BPFI 148 Hz)
0.036150,3.5651,284.94,68.18,13.243,-12.998,-0.208,Bearing Inner Race Defect (BPFI 148 Hz)
0.036639,1.1009,186.75,68.25,14.544,-11.295,-3.187,Bearing Inner Race Defect (BPFI 148 Hz)
