time_sec,vibration_accel_g,fbg_strain_microstrain,ir_pyrometer_temp_c,current_phase_u_a,current_phase_v_a,current_phase_w_a,state_label
0.000000,0.4177,215.66,54.00,0.061,-13.159,13.293,Centrifugal Pump Impeller Cavitation
0.000489,4.1221,210.88,53.95,2.628,-14.468,11.590,Centrifugal Pump Impeller Cavitation
0.000977,1.0391,210.81,53.97,5.365,-14.949,9.460,Centrifugal Pump Impeller Cavitation
0.001466,-0.6500,204.77,54.04,8.012,-15.220,7.148,Centrifugal Pump Impeller Cavitation
0.001954,-1.8393,209.53,53.95,10.274,-14.900,4.713,Centrifugal Pump Impeller Cavitation
0.002443,0.2241,201.29,54.02,12.165,-14.020,2.020,Centrifugal Pump Impeller Cavitation
0.002931,1.2772,203.33,53.99,13.502,-12.698,-0.823,Centrifugal Pump Impeller Cavitation
0.003420,-0.3683,214.37,53.96,14.503,-10.869,-3.453,Centrifugal Pump Impeller Cavitation
0.003908,0.7112,206.07,54.06,15.077,-8.786,-6.120,Centrifugal Pump Impeller Cavitation
0.004397,4.0752,203.73,53.98,15.167,-6.447,-8.667,Centrifugal Pump Impeller Cavitation
0.004885,0.0217,213.82,53.97,14.794,-3.724,-10.929,Centrifugal Pump Impeller Cavitation
0.005374,-2.6359,213.23,54.00,13.449,-1.001,-12.743,Centrifugal Pump Impeller Cavitation
0.005862,2.3734,208.17,53.98,12.177,1.711,-13.991,Centrifugal Pump Impeller Cavitation
0.006351,1.4010,208.73,54.09,10.199,4.476,-14.746,Centrifugal Pump Impeller Cavitation
0.006839,-2.2138,213.54,54.04,7.951,7.057,-15.005,Centrifugal Pump Impeller Cavitation
0.007328,1.6520,218.24,53.98,5.722,9.467,-15.000,Centrifugal Pump Impeller Cavitation
0.007816,-0.9013,211.71,53.98,2.998,11.406,-14.269,Centrifugal Pump Impeller Cavitation
0.008305,1.6943,199.87,53.92,0.208,13.042,-13.269,Centrifugal Pump Impeller Cavitation
0.008793,4.3305,208.12,54.01,-2.531,14.474,-11.592,Centrifugal Pump Impeller Cavitation
0.009282,0.5689,206.54,53.97,-5.368,15.085,-9.588,Centrifugal Pump Impeller Cavitation
0.009770,2.8200,201.05,54.00,-7.881,15.121,-7.558,Centrifugal Pump Impeller Cavitation
0.010259,-1.3659,214.23,53.92,-9.872,14.947,-4.841,Centrifugal Pump Impeller Cavitation
0.010747,-1.9213,214.89,54.00,-12.026,14.091,-1.982,Centrifugal Pump Impeller Cavitation
0.011236,4.4064,216.17,54.07,-13.433,12.831,0.743,Centrifugal Pump Impeller Cavitation
0.011724,1.2842,201.58,54.00,-14.554,11.085,3.364,Centrifugal Pump Impeller Cavitation
0.012213,1.8250,211.34,53.97,-15.296,9.096,5.891,Centrifugal Pump Impeller Cavitation
