time_sec,vibration_accel_g,fbg_strain_microstrain,ir_pyrometer_temp_c,current_phase_u_a,current_phase_v_a,current_phase_w_a,state_label
0.000000,-0.1260,265.78,72.87,0.061,-13.159,13.293,Coupling Misalignment (2X Dominant)
0.000489,1.3742,272.70,72.75,2.628,-14.468,11.590,Coupling Misalignment (2X Dominant)
0.000977,3.2064,281.94,72.77,5.365,-14.949,9.460,Coupling Misalignment (2X Dominant)
0.001466,4.1914,287.84,72.68,8.012,-15.220,7.148,Coupling Misalignment (2X Dominant)
0.001954,5.5584,297.07,72.82,10.274,-14.900,4.713,Coupling Misalignment (2X Dominant)
0.002443,6.2985,302.68,72.76,12.165,-14.020,2.020,Coupling Misalignment (2X Dominant)
0.002931,7.0856,304.03,72.83,13.502,-12.698,-0.823,Coupling Misalignment (2X Dominant)
0.003420,8.0505,306.65,72.77,14.503,-10.869,-3.453,Coupling Misalignment (2X Dominant)
0.003908,8.2749,310.92,72.90,15.077,-8.786,-6.120,Coupling Misalignment (2X Dominant)
0.004397,8.7237,310.18,72.89,15.167,-6.447,-8.667,Coupling Misalignment (2X Dominant)
0.004885,8.9827,309.17,72.68,14.794,-3.724,-10.929,Coupling Misalignment (2X Dominant)
0.005374,8.7696,304.90,72.83,13.449,-1.001,-12.743,Coupling Misalignment (2X Dominant)
0.005862,8.5108,301.35,72.76,12.177,1.711,-13.991,Coupling Misalignment (2X Dominant)
0.006351,8.0277,295.70,72.83,10.199,4.476,-14.746,Coupling Misalignment (2X Dominant)
0.006839,6.9659,290.04,72.73,7.951,7.057,-15.005,Coupling Misalignment (2X Dominant)
0.007328,6.1742,280.93,72.87,5.722,9.467,-15.000,Coupling Misalignment (2X Dominant)
0.007816,4.9750,274.46,72.85,2.998,11.406,-14.269,Coupling Misalignment (2X Dominant)
0.008305,4.3087,264.92,72.73,0.208,13.042,-13.269,Coupling Misalignment (2X Dominant)
0.008793,3.4610,257.60,72.79,-2.531,14.474,-11.592,Coupling Misalignment (2X Dominant)
0.009282,2.5369,250.12,72.81,-5.368,15.085,-9.588,Coupling Misalignment (2X Dominant)
